"Date","Time","Users"
"6/1/23","12:00 AM","1599"
"6/1/23","01:00 AM","1521"
"6/1/23","02:00 AM","1402"
"6/1/23","03:00 AM","1289"
"6/1/23","04:00 AM","1257"
"6/1/23","05:00 AM","1237"
"6/1/23","06:00 AM","1446"
"6/1/23","07:00 AM","2360"
"6/1/23","08:00 AM","4376"
"6/1/23","09:00 AM","5624"
"6/1/23","10:00 AM","5983"
"6/1/23","11:00 AM","5812"
"6/1/23","12:00 PM","5794"
"6/1/23","01:00 PM","5768"
"6/1/23","02:00 PM","5689"
"6/1/23","03:00 PM","5452"
"6/1/23","04:00 PM","4792"
"6/1/23","05:00 PM","4025"
"6/1/23","06:00 PM","3361"
"6/1/23","07:00 PM","2944"
"6/1/23","08:00 PM","2822"
"6/1/23","09:00 PM","2534"
"6/1/23","10:00 PM","2201"
"6/1/23","11:00 PM","1713"
"6/2/23","12:00 AM","1612"
"6/2/23","01:00 AM","1536"
"6/2/23","02:00 AM","1429"
"6/2/23","03:00 AM","1313"
"6/2/23","04:00 AM","1247"
"6/2/23","05:00 AM","1264"
"6/2/23","06:00 AM","1474"
"6/2/23","07:00 AM","2352"
"6/2/23","08:00 AM","4250"
"6/2/23","09:00 AM","5378"
"6/2/23","10:00 AM","5629"
"6/2/23","11:00 AM","5469"
"6/2/23","12:00 PM","5441"
"6/2/23","01:00 PM","5357"
"6/2/23","02:00 PM","5243"
"6/2/23","03:00 PM","4982"
"6/2/23","04:00 PM","4373"
"6/2/23","05:00 PM","3605"
"6/2/23","06:00 PM","3034"
"6/2/23","07:00 PM","2666"
"6/2/23","08:00 PM","2573"
"6/2/23","09:00 PM","2365"
"6/2/23","10:00 PM","2061"
"6/2/23","11:00 PM","1606"
"6/3/23","12:00 AM","1471"
"6/3/23","01:00 AM","1407"
"6/3/23","02:00 AM","1322"
"6/3/23","03:00 AM","1231"
"6/3/23","04:00 AM","1183"
"6/3/23","05:00 AM","1161"
"6/3/23","06:00 AM","1212"
"6/3/23","07:00 AM","1507"
"6/3/23","08:00 AM","2221"
"6/3/23","09:00 AM","2472"
"6/3/23","10:00 AM","2425"
"6/3/23","11:00 AM","2142"
"6/3/23","12:00 PM","2125"
"6/3/23","01:00 PM","2091"
"6/3/23","02:00 PM","2068"
